Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.1uF,0603,0.3,-2.65,90,top
C2,0.1uF,0603,0.3,-2.95,90,top
C3,0.1uF,0603,0.3,-3.25,90,top
C4,0.1uF,0603,0.3,-3.55,90,top
C5,0.1uF,0603,0.4,-2.65,90,top
C6,0.1uF,0603,0.4,-2.95,90,top
C7,0.1uF,0603,0.4,-3.25,90,top
C8,0.1uF,0603,0.4,-3.55,90,top
C9,0.1uF,0603,0.5,-2.65,90,top
C10,0.1uF,0603,0.5,-2.95,90,top
C11,0.1uF,0603,0.5,-3.25,90,top
C12,0.1uF,0603,0.5,-3.55,90,top
C13,0.1uF,0603,0.6,-2.65,90,top
C14,0.1uF,0603,0.6,-2.95,90,top
C15,0.1uF,0603,0.6,-3.25,90,top
C16,0.1uF,0603,0.6,-3.55,90,top
C17,0.1uF,0603,0.7,-2.65,90,top
C18,0.1uF,0603,0.7,-2.95,90,top
C19,0.1uF,0603,0.7,-3.25,90,top
C20,0.1uF,0603,0.7,-3.55,90,top
C21,0.1uF,0603,0.8,-2.65,90,top
C22,0.1uF,0603,0.8,-2.95,90,top
C23,0.1uF,0603,0.8,-3.25,90,top
C24,0.1uF,0603,0.8,-3.55,90,top
C25,0.1uF,0603,0.9,-2.65,90,top
C26,0.1uF,0603,0.9,-2.95,90,top
C27,0.1uF,0603,0.9,-3.25,90,top
C28,0.1uF,0603,0.9,-3.55,90,top
C29,0.1uF,0603,1,-2.65,90,top
C30,0.1uF,0603,1,-2.95,90,top
C31,0.1uF,0603,1,-3.25,90,top
C32,0.1uF,0603,1,-3.55,90,top
C33,0.1uF,0603,1.1,-2.65,90,top
C34,0.1uF,0603,1.1,-2.95,90,top
C35,0.1uF,0603,1.1,-3.25,90,top
C36,0.1uF,0603,1.1,-3.55,90,top
C37,0.1uF,0603,1.2,-2.65,90,top
C38,0.1uF,0603,1.2,-2.95,90,top
C39,0.1uF,0603,1.2,-3.25,90,top
C40,0.1uF,0603,1.2,-3.55,90,top
C41,0.1uF,0603,1.3,-2.65,90,top
C42,0.1uF,0603,1.3,-2.95,90,top
C43,0.1uF,0603,1.3,-3.25,90,top
C44,0.1uF,0603,1.3,-3.55,90,top
C45,0.1uF,0603,1.4,-2.65,90,top
C46,0.1uF,0603,1.4,-2.95,90,top
C47,0.1uF,0603,1.4,-3.25,90,top
C48,0.1uF,0603,1.4,-3.55,90,top
C49,0.1uF,0603,1.5,-2.65,90,top
C50,0.1uF,0603,1.5,-2.95,90,top
C51,0.1uF,0603,1.5,-3.25,90,top
C52,0.1uF,0603,1.5,-3.55,90,top
C53,0.1uF,0603,1.6,-2.65,90,top
C54,0.1uF,0603,1.6,-2.95,90,top
C55,0.1uF,0603,1.6,-3.25,90,top
C56,0.1uF,0603,1.6,-3.55,90,top
C57,0.1uF,0603,1.7,-2.65,90,top
C58,0.1uF,0603,1.7,-2.95,90,top
C59,0.1uF,0603,1.7,-3.25,90,top
C60,0.1uF,0603,1.7,-3.55,90,top
C61,0.1uF,0603,1.8,-2.65,90,top
C62,0.1uF,0603,1.8,-2.95,90,top
C63,0.1uF,0603,1.8,-3.25,90,top
C64,0.1uF,0603,1.8,-3.55,90,top
C65,0.1uF,0603,1.9,-2.65,90,top
C66,0.1uF,0603,1.9,-2.95,90,top
C67,0.1uF,0603,1.9,-3.25,90,top
C68,0.1uF,0603,1.9,-3.55,90,top
C69,0.1uF,0603,2,-2.65,90,top
C70,0.1uF,0603,2,-2.951181,90,top
C71,0.1uF,0603,2,-3.25,90,top
C72,0.1uF,0603,2,-3.55,90,top
C73,0.1uF,0603,2.1,-2.65,90,top
C74,0.1uF,0603,2.1,-2.95,90,top
C75,0.1uF,0603,2.1,-3.25,90,top
C76,0.1uF,0603,2.1,-3.55,90,top
C77,0.1uF,0603,2.2,-2.65,90,top
C78,0.1uF,0603,2.2,-2.95,90,top
C79,0.1uF,0603,2.2,-3.25,90,top
C80,0.1uF,0603,2.2,-3.55,90,top
C81,0.1uF,0603,2.3,-2.65,90,top
C82,0.1uF,0603,2.3,-2.95,90,top
C83,0.1uF,0603,2.3,-3.25,90,top
C84,0.1uF,0603,2.3,-3.55,90,top
C85,0.1uF,0603,2.4,-2.65,90,top
C86,0.1uF,0603,2.4,-2.95,90,top
C87,0.1uF,0603,2.4,-3.25,90,top
C88,0.1uF,0603,2.4,-3.55,90,top
C89,0.1uF,0603,2.5,-2.65,90,top
C90,0.1uF,0603,2.5,-2.95,90,top
C91,0.1uF,0603,2.5,-3.25,90,top
C92,0.1uF,0603,2.5,-3.55,90,top
C93,0.1uF,0603,2.6,-2.65,90,top
C94,0.1uF,0603,2.6,-2.95,90,top
C95,0.1uF,0603,2.6,-3.25,90,top
C96,0.1uF,0603,2.6,-3.55,90,top
C97,0.1uF,0603,2.7,-2.65,90,top
C98,0.1uF,0603,2.7,-2.95,90,top
C99,0.1uF,0603,2.7,-3.25,90,top
C100,0.1uF,0603,2.7,-3.55,90,top
C101,0.1uF,0603,2.8,-2.65,90,top
C102,0.1uF,0603,2.8,-2.95,90,top
C103,0.1uF,0603,2.8,-3.25,90,top
C104,0.1uF,0603,2.8,-3.55,90,top
C105,0.1uF,0603,2.9,-2.65,90,top
C106,0.1uF,0603,2.9,-2.95,90,top
C107,0.1uF,0603,2.9,-3.25,90,top
C108,0.1uF,0603,2.9,-3.55,90,top
C109,0.1uF,0603,3,-2.65,90,top
C110,0.1uF,0603,3,-2.95,90,top
C111,0.1uF,0603,3,-3.25,90,top
C112,0.1uF,0603,3,-3.55,90,top
C113,0.1uF,0603,3.1,-2.65,90,top
C114,0.1uF,0603,3.1,-2.95,90,top
C115,0.1uF,0603,3.1,-3.25,90,top
C116,0.1uF,0603,3.1,-3.55,90,top
C117,0.1uF,0603,3.2,-2.65,90,top
C118,0.1uF,0603,3.2,-2.95,90,top
C119,0.1uF,0603,3.2,-3.25,90,top
C120,0.1uF,0603,3.2,-3.55,90,top
C121,0.1uF,0603,3.3,-2.65,90,top
C122,0.1uF,0603,3.3,-2.95,90,top
C123,0.1uF,0603,3.3,-3.25,90,top
C124,0.1uF,0603,3.3,-3.55,90,top
C125,0.1uF,0603,3.4,-2.65,90,top
C126,0.1uF,0603,3.4,-2.95,90,top
C127,0.1uF,0603,3.4,-3.25,90,top
C128,0.1uF,0603,3.4,-3.55,90,top
