Ref,Val,Package,PosX,PosY,Rot,Side
ANT17,,UFL,-2.46063,-4.293,0,bottom
ANT18,,UFL,-3.13,-4.291339,0,bottom
ANT19,,UFL,-3.799213,-4.291339,0,bottom
ANT20,,UFL,-4.468504,-4.293,0,bottom
ANT21,,UFL,-5.137795,-4.291339,0,bottom
ANT22,,UFL,-5.807087,-4.291339,0,bottom
ANT23,,UFL,-6.476378,-4.291339,0,bottom
ANT24,,UFL,-7.145669,-4.291339,0,bottom
ANT25,,UFL,-2.46063,-2.677165,0,bottom
ANT26,,UFL,-3.129921,-2.677165,0,bottom
ANT27,,UFL,-3.799213,-2.677165,0,bottom
ANT28,,UFL,-4.468504,-2.676181,0,bottom
ANT29,,UFL,-5.137795,-2.674,0,bottom
ANT30,,UFL,-5.807087,-2.677165,0,bottom
ANT31,,UFL,-6.476378,-2.677165,0,bottom
ANT32,,UFL,-7.145669,-2.677165,0,bottom
C55,0.1u,_0603,-3.326772,-2.208661,-90,bottom
C56,1n,_0603,-2.964567,-2.110236,90,bottom
C57,0.1u,_0603,-3.232283,-2.094488,180,bottom
C58,0.1u,_0603,-3.996063,-2.208661,-90,bottom
C59,1n,_0603,-3.633858,-2.110236,90,bottom
C60,0.1u,_0603,-3.901575,-2.094488,180,bottom
C61,0.1u,_0603,-4.665354,-2.208661,-90,bottom
C62,1n,_0603,-4.30315,-2.110236,90,bottom
C63,0.1u,_0603,-4.570866,-2.094488,180,bottom
C64,0.1u,_0603,-5.334646,-2.208661,-90,bottom
C65,1n,_0603,-4.972441,-2.110236,90,bottom
C66,0.1u,_0603,-5.240157,-2.094488,180,bottom
C67,0.1u,_0603,-6.003937,-2.208661,-90,bottom
C68,1n,_0603,-5.641732,-2.110236,90,bottom
C69,0.1u,_0603,-5.909449,-2.094488,180,bottom
C70,0.1u,_0603,-6.673228,-2.208661,-90,bottom
C71,1n,_0603,-6.311024,-2.110236,90,bottom
C72,0.1u,_0603,-6.57874,-2.094488,180,bottom
C73,0.1u,_0603,-7.34252,-2.208661,-90,bottom
C74,1n,_0603,-6.980315,-2.110236,90,bottom
C75,0.1u,_0603,-7.248031,-2.094488,180,bottom
C76,0.1u,_0603,-2.65748,-2.208661,-90,bottom
C77,1n,_0603,-2.295276,-2.110236,90,bottom
C78,0.1u,_0603,-2.562992,-2.094488,180,bottom
C79,0.1u,_0603,-3.326772,-4.771654,-90,bottom
C80,1n,_0603,-2.964567,-4.677165,90,bottom
C81,0.1u,_0603,-3.232283,-4.65748,180,bottom
C82,0.1u,_0603,-3.996063,-4.771654,-90,bottom
C83,1n,_0603,-3.633858,-4.677165,90,bottom
C84,0.1u,_0603,-3.901575,-4.65748,180,bottom
C85,0.1u,_0603,-4.665354,-4.771654,-90,bottom
C86,1n,_0603,-4.30315,-4.677165,90,bottom
C87,0.1u,_0603,-4.570866,-4.65748,180,bottom
C88,0.1u,_0603,-5.334646,-4.771654,-90,bottom
C89,1n,_0603,-4.972441,-4.677165,90,bottom
C90,0.1u,_0603,-5.240157,-4.65748,180,bottom
C91,0.1u,_0603,-6.003937,-4.771654,-90,bottom
C92,1n,_0603,-5.641732,-4.677165,90,bottom
C93,0.1u,_0603,-5.909449,-4.65748,180,bottom
C94,0.1u,_0603,-6.673228,-4.771654,-90,bottom
C95,1n,_0603,-6.311024,-4.677165,90,bottom
C96,0.1u,_0603,-6.57874,-4.65748,180,bottom
C97,0.1u,_0603,-7.34252,-4.771654,-90,bottom
C98,1n,_0603,-6.980315,-4.677165,90,bottom
C99,0.1u,_0603,-7.248031,-4.65748,180,bottom
C100,0.1u,_0603,-2.65748,-4.771654,-90,bottom
C101,1n,_0603,-2.295276,-4.677165,90,bottom
C102,0.1u,_0603,-2.562992,-4.65748,180,bottom
D17,,TVS,-2.441732,-4.476378,90,bottom
D18,,TVS,-3.110236,-4.474,90,bottom
D19,,TVS,-3.779528,-4.478346,90,bottom
D20,,TVS,-4.448819,-4.478346,90,bottom
D21,,TVS,-5.11811,-4.478346,90,bottom
D22,,TVS,-5.787402,-4.478346,90,bottom
D23,,TVS,-6.456693,-4.478346,90,bottom
D24,,TVS,-7.13,-4.478346,90,bottom
D25,,TVS,-2.438976,-2.499213,-90,bottom
D26,,TVS,-3.110236,-2.5,-90,bottom
D27,,TVS,-3.777559,-2.500787,-90,bottom
D28,,TVS,-4.450787,-2.5,-90,bottom
D29,,TVS,-5.11811,-2.5,-90,bottom
D30,,TVS,-5.787402,-2.5,-90,bottom
D31,,TVS,-6.456693,-2.5,-90,bottom
D32,,TVS,-7.125984,-2.497,-90,bottom
FL17,,,-2.917323,-2.566929,90,bottom
FL18,,,-3.586614,-2.566929,90,bottom
FL19,,,-4.255906,-2.566929,90,bottom
FL20,,,-4.925197,-2.566929,90,bottom
FL21,,,-5.594488,-2.566929,90,bottom
FL22,,,-6.26378,-2.566929,90,bottom
FL23,,,-6.933071,-2.566929,90,bottom
FL24,,,-2.248031,-2.566929,90,bottom
FL25,,,-2.917323,-4.397638,-90,bottom
FL26,,,-3.586614,-4.397638,-90,bottom
FL27,,,-4.255906,-4.397638,-90,bottom
FL28,,,-4.925197,-4.397638,-90,bottom
FL29,,,-5.594488,-4.397638,-90,bottom
FL30,,,-6.26378,-4.397638,-90,bottom
FL31,,,-6.933071,-4.397638,-90,bottom
FL32,,,-2.248031,-4.397638,-90,bottom
IC17, ,SO,-3.145669,-2.23622,0,bottom
IC18, ,SO,-3.814961,-2.23622,0,bottom
IC19, ,SO,-4.484252,-2.23622,0,bottom
IC20, ,SO,-5.153543,-2.23622,0,bottom
IC21, ,SO,-5.822835,-2.23622,0,bottom
IC22, ,SO,-6.492126,-2.23622,0,bottom
IC23, ,SO,-7.161417,-2.23622,0,bottom
IC24, ,SO,-2.476378,-2.23622,0,bottom
IC25, ,SO,-3.145669,-4.799213,0,bottom
IC26, ,SO,-3.814961,-4.799213,0,bottom
IC27, ,SO,-4.484252,-4.799213,0,bottom
IC28, ,SO,-5.153543,-4.799213,0,bottom
IC29, ,SO,-5.822835,-4.799213,0,bottom
IC30, ,SO,-6.492126,-4.799213,0,bottom
IC31, ,SO,-7.161417,-4.799213,0,bottom
IC32, ,SO,-2.476378,-4.799213,0,bottom
L17,18.4k,  ,-3.279528,-1.822835,90,bottom
L18,18.4k,  ,-3.948819,-1.822835,90,bottom
L19,18.4k,  ,-4.61811,-1.822835,90,bottom
L20,18.4k,  ,-5.287402,-1.822835,90,bottom
L21,18.4k,  ,-5.956693,-1.822835,90,bottom
L22,18.4k,  ,-6.625984,-1.822835,90,bottom
L23,18.4k,  ,-7.295276,-1.822835,90,bottom
L24,18.4k,  ,-2.610236,-1.822835,90,bottom
L25,18.4k,  ,-3.295276,-5.177165,-90,bottom
L26,18.4k,  ,-3.964567,-5.177165,-90,bottom
L27,18.4k,  ,-4.633858,-5.177165,-90,bottom
L28,18.4k,  ,-5.30315,-5.177165,-90,bottom
L29,18.4k,  ,-5.972441,-5.177165,-90,bottom
L30,18.4k,  ,-6.641732,-5.177165,-90,bottom
L31,18.4k,  ,-7.311024,-5.177165,-90,bottom
L32,18.4k,  ,-2.625984,-5.177165,-90,bottom
R98,100,_0603,-2.870079,-2.19685,180,bottom
R99,4.99k,_0603,-2.964567,-2.232283,-90,bottom
R100,30,_0603,-3.389764,-2.181102,-90,bottom
R101,4.99k,_0603,-3.145669,-2.377953,0,bottom
R102,1.65k,_0603,-2.901575,-2.291339,90,bottom
R104,100,_0603,-3.53937,-2.19685,180,bottom
R105,4.99k,_0603,-3.633858,-2.232283,-90,bottom
R106,30,_0603,-4.059055,-2.181102,-90,bottom
R107,4.99k,_0603,-3.814961,-2.377953,0,bottom
R108,1.65k,_0603,-3.570866,-2.291339,90,bottom
R110,100,_0603,-4.208661,-2.19685,180,bottom
R111,4.99k,_0603,-4.30315,-2.232283,-90,bottom
R112,30,_0603,-4.728346,-2.181102,-90,bottom
R113,4.99k,_0603,-4.484252,-2.377953,0,bottom
R114,1.65k,_0603,-4.240157,-2.291339,90,bottom
R116,100,_0603,-4.877953,-2.19685,180,bottom
R117,4.99k,_0603,-4.972441,-2.232283,-90,bottom
