Ref,Val,Package,PosX,PosY,Rot,Side
"ANT17","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-2.460630,-4.293000,0.000000,bottom
"ANT18","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-3.130000,-4.291339,0.000000,bottom
"ANT19","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-3.799213,-4.291339,0.000000,bottom
"ANT20","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-4.468504,-4.293000,0.000000,bottom
"ANT21","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-5.137795,-4.291339,0.000000,bottom
"ANT22","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-5.807087,-4.291339,0.000000,bottom
"ANT23","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-6.476378,-4.291339,0.000000,bottom
"ANT24","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-7.145669,-4.291339,0.000000,bottom
"ANT25","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-2.460630,-2.677165,0.000000,bottom
"ANT26","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-3.129921,-2.677165,0.000000,bottom
"ANT27","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-3.799213,-2.677165,0.000000,bottom
"ANT28","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-4.468504,-2.676181,0.000000,bottom
"ANT29","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-5.137795,-2.674000,0.000000,bottom
"ANT30","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-5.807087,-2.677165,0.000000,bottom
"ANT31","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-6.476378,-2.677165,0.000000,bottom
"ANT32","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",-7.145669,-2.677165,0.000000,bottom
"C55","0.1u","C_0603_1608Metric",-3.326772,-2.208661,-90.000000,bottom
"C56","1n","C_0603_1608Metric",-2.964567,-2.110236,90.000000,bottom
"C57","0.1u","C_0603_1608Metric",-3.232283,-2.094488,180.000000,bottom
"C58","0.1u","C_0603_1608Metric",-3.996063,-2.208661,-90.000000,bottom
"C59","1n","C_0603_1608Metric",-3.633858,-2.110236,90.000000,bottom
"C60","0.1u","C_0603_1608Metric",-3.901575,-2.094488,180.000000,bottom
"C61","0.1u","C_0603_1608Metric",-4.665354,-2.208661,-90.000000,bottom
"C62","1n","C_0603_1608Metric",-4.303150,-2.110236,90.000000,bottom
"C63","0.1u","C_0603_1608Metric",-4.570866,-2.094488,180.000000,bottom
"C64","0.1u","C_0603_1608Metric",-5.334646,-2.208661,-90.000000,bottom
"C65","1n","C_0603_1608Metric",-4.972441,-2.110236,90.000000,bottom
"C66","0.1u","C_0603_1608Metric",-5.240157,-2.094488,180.000000,bottom
"C67","0.1u","C_0603_1608Metric",-6.003937,-2.208661,-90.000000,bottom
"C68","1n","C_0603_1608Metric",-5.641732,-2.110236,90.000000,bottom
"C69","0.1u","C_0603_1608Metric",-5.909449,-2.094488,180.000000,bottom
"C70","0.1u","C_0603_1608Metric",-6.673228,-2.208661,-90.000000,bottom
"C71","1n","C_0603_1608Metric",-6.311024,-2.110236,90.000000,bottom
"C72","0.1u","C_0603_1608Metric",-6.578740,-2.094488,180.000000,bottom
"C73","0.1u","C_0603_1608Metric",-7.342520,-2.208661,-90.000000,bottom
"C74","1n","C_0603_1608Metric",-6.980315,-2.110236,90.000000,bottom
"C75","0.1u","C_0603_1608Metric",-7.248031,-2.094488,180.000000,bottom
"C76","0.1u","C_0603_1608Metric",-2.657480,-2.208661,-90.000000,bottom
"C77","1n","C_0603_1608Metric",-2.295276,-2.110236,90.000000,bottom
"C78","0.1u","C_0603_1608Metric",-2.562992,-2.094488,180.000000,bottom
"C79","0.1u","C_0603_1608Metric",-3.326772,-4.771654,-90.000000,bottom
"C80","1n","C_0603_1608Metric",-2.964567,-4.677165,90.000000,bottom
"C81","0.1u","C_0603_1608Metric",-3.232283,-4.657480,180.000000,bottom
"C82","0.1u","C_0603_1608Metric",-3.996063,-4.771654,-90.000000,bottom
"C83","1n","C_0603_1608Metric",-3.633858,-4.677165,90.000000,bottom
"C84","0.1u","C_0603_1608Metric",-3.901575,-4.657480,180.000000,bottom
"C85","0.1u","C_0603_1608Metric",-4.665354,-4.771654,-90.000000,bottom
"C86","1n","C_0603_1608Metric",-4.303150,-4.677165,90.000000,bottom
"C87","0.1u","C_0603_1608Metric",-4.570866,-4.657480,180.000000,bottom
"C88","0.1u","C_0603_1608Metric",-5.334646,-4.771654,-90.000000,bottom
"C89","1n","C_0603_1608Metric",-4.972441,-4.677165,90.000000,bottom
"C90","0.1u","C_0603_1608Metric",-5.240157,-4.657480,180.000000,bottom
"C91","0.1u","C_0603_1608Metric",-6.003937,-4.771654,-90.000000,bottom
"C92","1n","C_0603_1608Metric",-5.641732,-4.677165,90.000000,bottom
"C93","0.1u","C_0603_1608Metric",-5.909449,-4.657480,180.000000,bottom
"C94","0.1u","C_0603_1608Metric",-6.673228,-4.771654,-90.000000,bottom
"C95","1n","C_0603_1608Metric",-6.311024,-4.677165,90.000000,bottom
"C96","0.1u","C_0603_1608Metric",-6.578740,-4.657480,180.000000,bottom
"C97","0.1u","C_0603_1608Metric",-7.342520,-4.771654,-90.000000,bottom
"C98","1n","C_0603_1608Metric",-6.980315,-4.677165,90.000000,bottom
"C99","0.1u","C_0603_1608Metric",-7.248031,-4.657480,180.000000,bottom
"C100","0.1u","C_0603_1608Metric",-2.657480,-4.771654,-90.000000,bottom
"C101","1n","C_0603_1608Metric",-2.295276,-4.677165,90.000000,bottom
"C102","0.1u","C_0603_1608Metric",-2.562992,-4.657480,180.000000,bottom
"D17","NUP1301,215","TRANS_MMBT2907A",-2.441732,-4.476378,90.000000,bottom
"D18","NUP1301,215","TRANS_MMBT2907A",-3.110236,-4.474000,90.000000,bottom
"D19","NUP1301,215","TRANS_MMBT2907A",-3.779528,-4.478346,90.000000,bottom
"D20","NUP1301,215","TRANS_MMBT2907A",-4.448819,-4.478346,90.000000,bottom
"D21","NUP1301,215","TRANS_MMBT2907A",-5.118110,-4.478346,90.000000,bottom
"D22","NUP1301,215","TRANS_MMBT2907A",-5.787402,-4.478346,90.000000,bottom
"D23","NUP1301,215","TRANS_MMBT2907A",-6.456693,-4.478346,90.000000,bottom
"D24","NUP1301,215","TRANS_MMBT2907A",-7.130000,-4.478346,90.000000,bottom
"D25","NUP1301,215","TRANS_MMBT2907A",-2.438976,-2.499213,-90.000000,bottom
"D26","NUP1301,215","TRANS_MMBT2907A",-3.110236,-2.500000,-90.000000,bottom
"D27","NUP1301,215","TRANS_MMBT2907A",-3.777559,-2.500787,-90.000000,bottom
"D28","NUP1301,215","TRANS_MMBT2907A",-4.450787,-2.500000,-90.000000,bottom
"D29","NUP1301,215","TRANS_MMBT2907A",-5.118110,-2.500000,-90.000000,bottom
"D30","NUP1301,215","TRANS_MMBT2907A",-5.787402,-2.500000,-90.000000,bottom
"D31","NUP1301,215","TRANS_MMBT2907A",-6.456693,-2.500000,-90.000000,bottom
"D32","NUP1301,215","TRANS_MMBT2907A",-7.125984,-2.497000,-90.000000,bottom
"FL17","NFE61PT472C1H9L","NFE61",-2.917323,-2.566929,90.000000,bottom
"FL18","NFE61PT472C1H9L","NFE61",-3.586614,-2.566929,90.000000,bottom
"FL19","NFE61PT472C1H9L","NFE61",-4.255906,-2.566929,90.000000,bottom
"FL20","NFE61PT472C1H9L","NFE61",-4.925197,-2.566929,90.000000,bottom
"FL21","NFE61PT472C1H9L","NFE61",-5.594488,-2.566929,90.000000,bottom
"FL22","NFE61PT472C1H9L","NFE61",-6.263780,-2.566929,90.000000,bottom
"FL23","NFE61PT472C1H9L","NFE61",-6.933071,-2.566929,90.000000,bottom
"FL24","NFE61PT472C1H9L","NFE61",-2.248031,-2.566929,90.000000,bottom
"FL25","NFE61PT472C1H9L","NFE61",-2.917323,-4.397638,-90.000000,bottom
"FL26","NFE61PT472C1H9L","NFE61",-3.586614,-4.397638,-90.000000,bottom
"FL27","NFE61PT472C1H9L","NFE61",-4.255906,-4.397638,-90.000000,bottom
"FL28","NFE61PT472C1H9L","NFE61",-4.925197,-4.397638,-90.000000,bottom
"FL29","NFE61PT472C1H9L","NFE61",-5.594488,-4.397638,-90.000000,bottom
"FL30","NFE61PT472C1H9L","NFE61",-6.263780,-4.397638,-90.000000,bottom
"FL31","NFE61PT472C1H9L","NFE61",-6.933071,-4.397638,-90.000000,bottom
"FL32","NFE61PT472C1H9L","NFE61",-2.248031,-4.397638,-90.000000,bottom
"IC17","LTC6090CS8E#PBF","SOIC127P599X175-9N",-3.145669,-2.236220,0.000000,bottom
"IC18","LTC6090CS8E#PBF","SOIC127P599X175-9N",-3.814961,-2.236220,0.000000,bottom
"IC19","LTC6090CS8E#PBF","SOIC127P599X175-9N",-4.484252,-2.236220,0.000000,bottom
"IC20","LTC6090CS8E#PBF","SOIC127P599X175-9N",-5.153543,-2.236220,0.000000,bottom
"IC21","LTC6090CS8E#PBF","SOIC127P599X175-9N",-5.822835,-2.236220,0.000000,bottom
"IC22","LTC6090CS8E#PBF","SOIC127P599X175-9N",-6.492126,-2.236220,0.000000,bottom
"IC23","LTC6090CS8E#PBF","SOIC127P599X175-9N",-7.161417,-2.236220,0.000000,bottom
"IC24","LTC6090CS8E#PBF","SOIC127P599X175-9N",-2.476378,-2.236220,0.000000,bottom
"IC25","LTC6090CS8E#PBF","SOIC127P599X175-9N",-3.145669,-4.799213,0.000000,bottom
"IC26","LTC6090CS8E#PBF","SOIC127P599X175-9N",-3.814961,-4.799213,0.000000,bottom
"IC27","LTC6090CS8E#PBF","SOIC127P599X175-9N",-4.484252,-4.799213,0.000000,bottom
"IC28","LTC6090CS8E#PBF","SOIC127P599X175-9N",-5.153543,-4.799213,0.000000,bottom
"IC29","LTC6090CS8E#PBF","SOIC127P599X175-9N",-5.822835,-4.799213,0.000000,bottom
"IC30","LTC6090CS8E#PBF","SOIC127P599X175-9N",-6.492126,-4.799213,0.000000,bottom
"IC31","LTC6090CS8E#PBF","SOIC127P599X175-9N",-7.161417,-4.799213,0.000000,bottom
"IC32","LTC6090CS8E#PBF","SOIC127P599X175-9N",-2.476378,-4.799213,0.000000,bottom
"L17","18.4k","WE-SL2",-3.279528,-1.822835,90.000000,bottom
"L18","18.4k","WE-SL2",-3.948819,-1.822835,90.000000,bottom
"L19","18.4k","WE-SL2",-4.618110,-1.822835,90.000000,bottom
"L20","18.4k","WE-SL2",-5.287402,-1.822835,90.000000,bottom
"L21","18.4k","WE-SL2",-5.956693,-1.822835,90.000000,bottom
"L22","18.4k","WE-SL2",-6.625984,-1.822835,90.000000,bottom
"L23","18.4k","WE-SL2",-7.295276,-1.822835,90.000000,bottom
"L24","18.4k","WE-SL2",-2.610236,-1.822835,90.000000,bottom
"L25","18.4k","WE-SL2",-3.295276,-5.177165,-90.000000,bottom
"L26","18.4k","WE-SL2",-3.964567,-5.177165,-90.000000,bottom
"L27","18.4k","WE-SL2",-4.633858,-5.177165,-90.000000,bottom
"L28","18.4k","WE-SL2",-5.303150,-5.177165,-90.000000,bottom
"L29","18.4k","WE-SL2",-5.972441,-5.177165,-90.000000,bottom
"L30","18.4k","WE-SL2",-6.641732,-5.177165,-90.000000,bottom
"L31","18.4k","WE-SL2",-7.311024,-5.177165,-90.000000,bottom
"L32","18.4k","WE-SL2",-2.625984,-5.177165,-90.000000,bottom
"R98","100","R_0603_1608Metric",-2.870079,-2.196850,180.000000,bottom
"R99","4.99k","R_0603_1608Metric",-2.964567,-2.232283,-90.000000,bottom
"R100","30","R_0603_1608Metric",-3.389764,-2.181102,-90.000000,bottom
"R101","4.99k","R_0603_1608Metric",-3.145669,-2.377953,0.000000,bottom
"R102","1.65k","R_0603_1608Metric",-2.901575,-2.291339,90.000000,bottom
"R104","100","R_0603_1608Metric",-3.539370,-2.196850,180.000000,bottom
"R105","4.99k","R_0603_1608Metric",-3.633858,-2.232283,-90.000000,bottom
"R106","30","R_0603_1608Metric",-4.059055,-2.181102,-90.000000,bottom
"R107","4.99k","R_0603_1608Metric",-3.814961,-2.377953,0.000000,bottom
"R108","1.65k","R_0603_1608Metric",-3.570866,-2.291339,90.000000,bottom
"R110","100","R_0603_1608Metric",-4.208661,-2.196850,180.000000,bottom
"R111","4.99k","R_0603_1608Metric",-4.303150,-2.232283,-90.000000,bottom
"R112","30","R_0603_1608Metric",-4.728346,-2.181102,-90.000000,bottom
"R113","4.99k","R_0603_1608Metric",-4.484252,-2.377953,0.000000,bottom
"R114","1.65k","R_0603_1608Metric",-4.240157,-2.291339,90.000000,bottom
"R116","100","R_0603_1608Metric",-4.877953,-2.196850,180.000000,bottom
"R117","4.99k","R_0603_1608Metric",-4.972441,-2.232283,-90.000000,bottom
"R118","30","R_0603_1608Metric",-5.397638,-2.181102,-90.000000,bottom
"R119","4.99k","R_0603_1608Metric",-5.153543,-2.377953,0.000000,bottom
"R120","1.65k","R_0603_1608Metric",-4.909449,-2.291339,90.000000,bottom
"R122","100","R_0603_1608Metric",-5.547244,-2.196850,180.000000,bottom
"R123","4.99k","R_0603_1608Metric",-5.641732,-2.232283,-90.000000,bottom
"R124","30","R_0603_1608Metric",-6.066929,-2.181102,-90.000000,bottom
"R125","4.99k","R_0603_1608Metric",-5.822835,-2.377953,0.000000,bottom
"R126","1.65k","R_0603_1608Metric",-5.578740,-2.291339,90.000000,bottom
"R128","100","R_0603_1608Metric",-6.216535,-2.196850,180.000000,bottom
"R129","4.99k","R_0603_1608Metric",-6.311024,-2.232283,-90.000000,bottom
"R130","30","R_0603_1608Metric",-6.736220,-2.181102,-90.000000,bottom
"R131","4.99k","R_0603_1608Metric",-6.492126,-2.377953,0.000000,bottom
"R132","1.65k","R_0603_1608Metric",-6.248031,-2.291339,90.000000,bottom
"R134","100","R_0603_1608Metric",-6.885335,-2.196850,180.000000,bottom
"R135","4.99k","R_0603_1608Metric",-6.980315,-2.232283,-90.000000,bottom
"R136","30","R_0603_1608Metric",-7.405512,-2.181102,-90.000000,bottom
"R137","4.99k","R_0603_1608Metric",-7.161417,-2.377953,0.000000,bottom
"R138","1.65k","R_0603_1608Metric",-6.917323,-2.291339,90.000000,bottom
"R140","100","R_0603_1608Metric",-2.200787,-2.196850,180.000000,bottom
"R141","4.99k","R_0603_1608Metric",-2.295276,-2.232283,-90.000000,bottom
"R142","30","R_0603_1608Metric",-2.720472,-2.181102,-90.000000,bottom
"R143","4.99k","R_0603_1608Metric",-2.476378,-2.377953,0.000000,bottom
"R144","1.65k","R_0603_1608Metric",-2.232283,-2.291339,90.000000,bottom
"R146","100","R_0603_1608Metric",-2.870079,-4.759843,180.000000,bottom
"R147","4.99k","R_0603_1608Metric",-2.964567,-4.799213,-90.000000,bottom
"R148","30","R_0603_1608Metric",-3.389764,-4.803150,90.000000,bottom
"R149","4.99k","R_0603_1608Metric",-3.145669,-4.940945,0.000000,bottom
"R150","1.65k","R_0603_1608Metric",-2.870079,-4.822835,0.000000,bottom
"R152","100","R_0603_1608Metric",-3.539370,-4.759843,180.000000,bottom
"R153","4.99k","R_0603_1608Metric",-3.633858,-4.799213,-90.000000,bottom
