Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",6.653543,-3.090551,0.000000,top
"ANT2","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",5.984252,-3.090551,0.000000,top
"ANT3","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",5.314961,-3.090551,0.000000,top
"ANT4","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",4.645669,-3.090551,0.000000,top
"ANT5","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",3.976378,-3.090551,0.000000,top
"ANT6","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",3.307087,-3.090551,0.000000,top
"ANT7","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",2.637795,-3.090551,0.000000,top
"ANT8","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",1.968504,-3.090551,0.000000,top
"ANT9","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",6.673228,-3.956693,0.000000,top
"ANT10","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",6.003937,-3.956693,0.000000,top
"ANT11","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",5.334646,-3.956693,0.000000,top
"ANT12","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",4.665354,-3.956693,0.000000,top
"ANT13","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",3.996063,-3.956693,0.000000,top
"ANT14","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",3.326772,-3.956693,0.000000,top
"ANT15","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",2.657480,-3.956693,0.000000,top
"ANT16","U.FL-R-SMT-1","HRS_U.FL-R-SMT(10)",1.988189,-3.956693,0.000000,top
"C1","1u","C_1206_3216Metric",4.784055,-1.805512,0.000000,top
"C2","10u","CAP_EEEFK1H100V",6.501181,-1.944882,0.000000,top
"C3","1u","C_1206_3216Metric",1.381890,-1.925197,0.000000,top
"C4","10u","CAP_EEEFK1H100V",3.142717,-5.070079,0.000000,top
"C5","1u","C_1206_3216Metric",1.381890,-1.783465,0.000000,top
"C6","1u","C_1206_3216Metric",3.281102,-5.284252,0.000000,top
"C7","47u","CAP_EEEFK2A470AV",3.140000,-1.223071,-90.000000,top
"C8","10u","CAP_EEEFK1H100V",7.159843,-5.047638,0.000000,top
"C9","47u","CAP_EEEFK2A470AV",3.760000,-1.240000,90.000000,top
"C10","10u","CAP_EEEFK1H100V",4.507480,-1.930709,180.000000,top
"C11","1u","C_1206_3216Metric",1.744094,-1.783465,180.000000,top
"C12","1u","C_1206_3216Metric",7.120669,-5.253150,0.000000,top
"C13","1u","C_1206_3216Metric",1.744094,-1.925197,180.000000,top
"C14","1u","C_1206_3216Metric",6.479331,-2.136811,0.000000,top
"C15","10u","CAP_EEEFK1H100V",2.468504,-5.068898,0.000000,top
"C16","1u","C_1206_3216Metric",5.787992,-2.122835,0.000000,top
"C17","10u","CAP_EEEFK1H100V",6.472244,-5.053937,0.000000,top
"C18","10u","CAP_EEEFK1H100V",3.837205,-1.925984,0.000000,top
"C19","1u","C_1206_3216Metric",2.676378,-5.287008,0.000000,top
"C20","1u","C_1206_3216Metric",4.110827,-1.780315,0.000000,top
"C21","1u","C_1206_3216Metric",5.560000,-0.920000,90.000000,top
"C22","10u","CAP_EEEFK1H100V",5.839370,-1.926772,180.000000,top
"C23","10u","CAP_EEEFK1H100V",6.780000,-0.940000,90.000000,top
"C24","1u","C_1206_3216Metric",6.634843,-5.251969,0.000000,top
"C25","1u","C_1206_3216Metric",5.880000,-0.920000,90.000000,top
"C26","10u","CAP_EEEFK1H100V",6.100000,-0.940000,90.000000,top
"C27","1n","C_0603_1608Metric",6.496063,-2.700787,-90.000000,top
"C28","0.1u","C_0603_1608Metric",6.763780,-2.720472,180.000000,top
"C29","0.1u","C_0603_1608Metric",6.858268,-2.606299,90.000000,top
"C30","1n","C_0603_1608Metric",5.826772,-2.700787,-90.000000,top
"C31","0.1u","C_0603_1608Metric",6.094488,-2.720472,180.000000,top
"C32","0.1u","C_0603_1608Metric",6.188976,-2.606299,90.000000,top
"C33","1n","C_0603_1608Metric",5.157480,-2.700787,-90.000000,top
"C34","0.1u","C_0603_1608Metric",5.425197,-2.720472,180.000000,top
"C35","0.1u","C_0603_1608Metric",5.519685,-2.606299,90.000000,top
"C36","1n","C_0603_1608Metric",4.488189,-2.700787,-90.000000,top
